id,label,language
6830,1.0,1.0
7911,0.0,0.0
31084,0.0,1.0
148779,0.0,0.0
95640,0.0,1.0
26711,1.0,1.0
97731,1.0,0.0
36799,1.0,1.0
118657,0.0,1.0
172805,0.0,1.0
146675,1.0,0.0
131469,1.0,1.0
159254,0.0,1.0
141887,1.0,1.0
118980,0.0,1.0
67195,0.0,1.0
35786,1.0,0.0
154030,0.0,1.0
56899,0.0,0.0
159368,1.0,1.0
160116,0.0,0.0
63452,1.0,0.0
38287,1.0,0.0
1785,1.0,0.0
128471,0.0,0.0
84539,1.0,0.0
179453,1.0,1.0
113785,0.0,0.0
107139,0.0,0.0
18273,1.0,0.0
163513,1.0,0.0
140441,0.0,0.0
45696,0.0,0.0
22875,0.0,1.0
56118,0.0,0.0
181290,0.0,1.0
6426,0.0,1.0
36515,1.0,0.0
73133,1.0,0.0
144758,1.0,1.0
128647,0.0,0.0
29071,1.0,0.0
33770,0.0,0.0
59179,0.0,1.0
165560,1.0,0.0
16715,0.0,1.0
135597,0.0,0.0
59451,0.0,1.0
166680,0.0,0.0
475,0.0,1.0
92213,0.0,1.0
15702,1.0,0.0
6582,0.0,1.0
11255,1.0,1.0
90280,0.0,1.0
20133,0.0,1.0
176555,0.0,1.0
118139,0.0,0.0
19272,0.0,1.0
181468,1.0,0.0
5830,1.0,1.0
62675,0.0,0.0
61420,1.0,1.0
172142,0.0,1.0
122777,1.0,0.0
24689,0.0,0.0
69194,1.0,0.0
780,0.0,1.0
57872,0.0,1.0
168202,1.0,1.0
171682,0.0,1.0
180273,0.0,0.0
55108,0.0,0.0
176711,1.0,1.0
171040,1.0,1.0
139596,0.0,0.0
55276,0.0,0.0
44313,1.0,0.0
5860,1.0,0.0
104905,0.0,0.0
132398,0.0,0.0
7633,0.0,1.0
148909,0.0,0.0
136677,0.0,1.0
157904,1.0,1.0
100077,0.0,0.0
91090,0.0,1.0
174683,1.0,0.0
151226,1.0,0.0
79929,0.0,1.0
116596,0.0,0.0
162351,0.0,1.0
67613,1.0,1.0
20321,1.0,0.0
22083,0.0,0.0
143403,0.0,0.0
172896,0.0,1.0
82257,0.0,0.0
66472,0.0,1.0
85729,0.0,0.0
112499,0.0,0.0
160354,0.0,0.0
113756,1.0,0.0
79002,0.0,0.0
135820,0.0,0.0
72512,0.0,0.0
111111,0.0,0.0
83852,1.0,1.0
103272,1.0,0.0
62588,0.0,0.0
128289,1.0,0.0
69727,0.0,0.0
38642,0.0,0.0
97627,0.0,0.0
177656,0.0,0.0
43857,0.0,0.0
147309,0.0,0.0
121348,1.0,0.0
889,0.0,1.0
65160,0.0,0.0
13699,1.0,0.0
85551,0.0,0.0
18825,1.0,1.0
102474,1.0,0.0
127599,0.0,1.0
60931,1.0,1.0
141026,0.0,1.0
98800,0.0,1.0
67369,0.0,1.0
109787,0.0,0.0
148280,0.0,0.0
115589,0.0,1.0
84435,1.0,0.0
62676,1.0,0.0
164272,0.0,1.0
148720,0.0,0.0
92438,1.0,1.0
113364,0.0,0.0
48565,1.0,1.0
100359,0.0,0.0
26859,0.0,0.0
120447,0.0,0.0
1320,1.0,0.0
123471,0.0,1.0
108524,0.0,1.0
118219,1.0,0.0
19724,1.0,1.0
38875,0.0,1.0
177719,0.0,0.0
63345,0.0,0.0
57315,0.0,0.0
75440,0.0,1.0
13255,0.0,0.0
152460,0.0,1.0
72934,0.0,0.0
23680,1.0,0.0
144039,1.0,1.0
103642,0.0,1.0
46969,0.0,1.0
146609,0.0,0.0
100419,1.0,1.0
116458,0.0,1.0
140657,0.0,1.0
79280,0.0,0.0
107846,1.0,1.0
54280,0.0,1.0
31211,1.0,0.0
1368,0.0,0.0
131661,1.0,0.0
101062,0.0,1.0
68165,1.0,0.0
48458,0.0,0.0
72470,0.0,0.0
143185,1.0,1.0
52183,0.0,1.0
61200,1.0,0.0
166714,0.0,1.0
144739,1.0,0.0
84175,1.0,0.0
132114,0.0,1.0
109719,1.0,0.0
70510,0.0,1.0
151404,1.0,0.0
41181,0.0,1.0
61805,0.0,0.0
58513,1.0,1.0
34502,1.0,0.0
14633,0.0,1.0
105956,0.0,0.0
158173,1.0,0.0
91413,0.0,1.0
142684,1.0,0.0
77730,1.0,0.0
85743,0.0,0.0
149974,0.0,1.0
25189,0.0,0.0
2045,1.0,0.0
145117,1.0,0.0
179929,1.0,1.0
40485,1.0,0.0
83552,0.0,0.0
69044,0.0,0.0
17294,0.0,1.0
73787,0.0,1.0
40252,0.0,0.0
136926,0.0,0.0
129112,0.0,1.0
10850,0.0,0.0
177152,0.0,0.0
44740,1.0,0.0
86250,0.0,1.0
91529,1.0,0.0
88102,1.0,1.0
180954,0.0,0.0
41075,1.0,1.0
101263,0.0,1.0
40536,0.0,0.0
151413,0.0,0.0
21520,0.0,0.0
53553,1.0,1.0
87163,0.0,0.0
140881,0.0,1.0
34556,0.0,0.0
53785,0.0,1.0
123903,0.0,0.0
56668,0.0,1.0
47898,1.0,1.0
120121,1.0,0.0
46176,0.0,0.0
110499,0.0,0.0
40508,0.0,1.0
29651,0.0,1.0
36710,0.0,0.0
63146,0.0,1.0
21646,1.0,1.0
15273,0.0,1.0
68243,0.0,0.0
51361,1.0,1.0
47254,0.0,1.0
174671,1.0,0.0
126284,0.0,0.0
47554,0.0,0.0
101698,0.0,1.0
171709,0.0,0.0
127620,1.0,0.0
172278,0.0,1.0
108924,1.0,0.0
162248,0.0,1.0
115977,1.0,1.0
139715,1.0,1.0
114425,0.0,1.0
17597,0.0,0.0
155879,0.0,1.0
108871,1.0,1.0
155351,0.0,0.0
135821,0.0,1.0
22791,0.0,0.0
47885,0.0,0.0
77428,0.0,1.0
19788,0.0,1.0
179548,1.0,0.0
38327,1.0,0.0
175206,1.0,1.0
109067,0.0,1.0
118397,1.0,1.0
29468,0.0,1.0
126133,0.0,0.0
149693,0.0,1.0
135040,1.0,0.0
170474,0.0,1.0
51097,0.0,0.0
53267,0.0,1.0
20823,0.0,0.0
168580,1.0,0.0
133633,0.0,1.0
133605,0.0,1.0
19469,0.0,1.0
37619,0.0,0.0
18854,0.0,0.0
150906,1.0,1.0
10190,0.0,1.0
156238,0.0,1.0
119422,0.0,0.0
18910,0.0,1.0
79302,0.0,0.0
162012,1.0,1.0
81967,0.0,1.0
126900,0.0,1.0
58699,0.0,1.0
95699,0.0,0.0
57483,0.0,0.0
107744,0.0,1.0
66343,0.0,1.0
71924,0.0,0.0
12445,1.0,0.0
76904,0.0,0.0
